namespace,namespace_name,namespace_url,namespace_lang,route_path,route_name,category,uses_browser,requirePuppeteer_flag,anti_crawler,require_config_vars,file
logclub,罗戈网,logclub.com,zh-CN,/logclub/recruit,招聘,new-media,False,False,False,,lib/routes/logclub/recruit.ts
logclub,罗戈网,logclub.com,zh-CN,/logclub/lc_report/:id?,报告,new-media,False,False,False,,lib/routes/logclub/report.ts
logclub,罗戈网,logclub.com,zh-CN,/logclub/tender,招投标,new-media,False,False,False,,lib/routes/logclub/tender.ts
logonews,LogoNews 标志情报局,logonews.cn,zh-CN,/logonews/category/:category/:type,文章分类,design,False,False,False,,lib/routes/logonews/category.ts
logonews,LogoNews 标志情报局,logonews.cn,zh-CN,/logonews/,首页,design,False,False,False,,lib/routes/logonews/index.tsx
logonews,LogoNews 标志情报局,logonews.cn,zh-CN,/logonews/tag/:tag,文章标签,design,False,False,False,,lib/routes/logonews/tag.ts
logonews,LogoNews 标志情报局,logonews.cn,zh-CN,/logonews/work/categorys/:category,作品分类,design,False,False,False,,lib/routes/logonews/work-category.ts
logonews,LogoNews 标志情报局,logonews.cn,zh-CN,/logonews/work/tags/:tag?,作品标签,design,False,False,False,,lib/routes/logonews/work-tag.ts
logonews,LogoNews 标志情报局,logonews.cn,zh-CN,/logonews/work,作品,design,False,False,False,,lib/routes/logonews/work.ts
logrocket,logrocket blog,blog.logrocket.com,en,/logrocket/:type,blog.logrocket,blog,False,False,False,,lib/routes/logrocket/index.ts
loltw,英雄联盟,lol.garena.tw,zh-TW,/loltw/news/:category?,台服新闻,game,False,False,False,,lib/routes/loltw/news.tsx
loongarch,LA UOSC社区,loongarch.org,zh-CN,/loongarch/post/:type?,最热 / 最新帖子,bbs,False,False,False,,lib/routes/loongarch/post.ts
lorientlejour,L'Orient-Le Jour/L'Orient Today,lorientlejour.com,fr,/lorientlejour/:category?,Category,traditional-media,False,False,False,LORIENTLEJOUR_USERNAME;LORIENTLEJOUR_PASSWORD;LORIENTLEJOUR_TOKEN,lib/routes/lorientlejour/index.tsx
lovelive-anime,Love Live! Official Website,www.lovelive-anime.jp,ja,/lovelive-anime/news/:abbr?/:category?/:option?,News,anime,False,False,False,,lib/routes/lovelive-anime/news.tsx
lrepacks,REPACK скачать,lrepacks.net,ru,/lrepacks/:category?,REPACK скачать,program-update,False,False,False,,lib/routes/lrepacks/index.ts
ltaaa,龙腾网,ltaaa.cn,zh-CN,/ltaaa/article,网站翻译,new-media,False,False,False,,lib/routes/ltaaa/article.ts
ltn,自由時報,ltn.com.tw,zh-TW,/ltn/def/:channel{.+}?,自由軍武頻道,traditional-media,False,False,False,,lib/routes/ltn/def.ts
luma,LuMa,lu.ma,zh-CN,/luma/:url,Events,other,False,False,False,,lib/routes/luma/index.ts
